date,4-week moving average,13-week moving average
2024-09-20,2.135562692959958,2.7392726283794966
2024-09-27,2.5274482152912725,2.6490026273689127
2024-10-04,2.463156398891342,2.6259175272745017
2024-10-11,2.0560169608094814,2.3590784848102286
2024-10-18,1.2878836392146153,2.4268027413740567
2024-10-25,0.8527366101494405,2.4308191350693953
2024-11-01,1.3056493193196905,2.300286471901969
2024-11-08,1.3318560690365633,2.0848442445379423
2024-11-15,1.528309812428641,1.9975494690159135
2024-11-22,1.3587441149054191,1.6802817492378441
2024-11-29,2.037449087181953,1.867851083934835
2024-12-06,2.457136251836256,1.9461985881492616
2024-12-13,3.4407252101329666,2.1224562355839804
2024-12-20,3.2555484402573276,2.0220623543275584
2024-12-27,3.4073447156808934,2.136051452341947
2025-01-03,3.2776598128850143,2.194867516159693
2025-01-10,2.7081728893404655,2.3228076727185076
2025-01-17,2.56120544872831,2.4149883500071745
2025-01-24,2.0764342269264935,2.515774240866775
2025-01-31,2.7887434200807526,2.652895930366217
2025-02-07,3.0941168159978494,2.8670802176081978
2025-02-14,4.111353512482219,3.2097511908480314
2025-02-21,3.266752137768192,3.1057266922838833
2025-02-28,3.258832020082547,3.0294167448805975
2025-03-07,3.794336667395526,3.2783201141108
2025-03-14,3.8366734288403315,3.331148658093719
2025-03-21,5.22188290090817,3.705934533258559
2025-03-28,4.56441844090969,3.3827729277925878
2025-04-04,4.182374427646418,3.555855645985062
2025-04-11,4.723988934013912,3.9509687598945353
2025-04-18,3.421213025938563,3.9727327586487116
2025-04-25,3.9037656556476064,3.9487307933566695
2025-05-02,4.031951133907352,3.939633347938565
2025-05-09,2.517940777213301,3.771863426756794
2025-05-16,2.4273165496055515,3.4523333040388016
2025-05-23,2.755731308440512,3.790183334015196
2025-05-30,3.1110346429067848,3.8938347023865783
2025-06-05,2.9431481592659736,3.509269210072974
2025-06-13,3.651158105471697,3.395427741096424
2025-06-20,2.936195650153728,3.0911830482369007
2025-06-27,3.1748937174914005,3.467061685017492
2025-07-04,3.7957343295413226,3.3909194869064185
2025-07-11,3.5988038672657208,3.052330043784157
2025-07-18,3.448603741050249,3.099583295990982
2025-07-25,2.64696783846603,3.0803565506082764
2025-08-01,2.6535739809782743,2.967469036556425
2025-08-08,2.5383925890444914,3.058655274637001
