dates,Sequential inflation,3-month moving average
2008-10-01,3.3015357553616065,0.952205175057963
2008-11-01,0.9627349531730944,1.4806903296948448
2008-12-01,-0.6616502335236141,1.1878283240088106
2009-01-01,0.182839232075227,0.15911099195307088
2009-02-01,-0.4432277408421226,-0.30798789606456545
2009-03-01,1.486185675003271,0.40538933129095067
2009-04-01,-0.05806077027288303,0.3248463564176962
2009-05-01,0.7681383940098208,0.730110991387356
2009-06-01,-0.1024918326820945,0.20173027183205683
2009-07-01,0.12183392112856684,0.26181500662518786
2009-08-01,-0.5700012809017441,-0.1839694402247516
2009-09-01,0.22544283413847843,-0.0748663381457848
2009-10-01,3.001285347043714,0.8740259055102895
2009-11-01,1.6659387283958216,1.6245653314706843
2009-12-01,0.5707622437707283,1.74114487290149
2010-01-01,2.233477756758395,1.487709406091109
2010-02-01,1.7847549692592501,1.5272299961303748
2010-03-01,0.42810227539291645,1.479201705822919
2010-04-01,0.9635036496350446,1.0572482193707877
2010-05-01,-0.5089647194910341,0.29236512985884033
2010-06-01,-0.8254854086734209,-0.12668109449587295
2010-07-01,-0.7854630715123156,-0.7067373967917123
2010-08-01,0.5021859860569577,-0.3714903443211348
2010-09-01,1.5872082769972318,0.42995801212901696
2010-10-01,2.360974480643474,1.4805895999880248
2010-11-01,-0.08479846232120059,1.2826374413329678
2010-12-01,-0.6280411904492578,0.5410177225989354
2011-01-01,0.24483288731993458,-0.15665132095047385
2011-02-01,0.8576621606270596,0.1562943885930368
2011-03-01,0.4223686433519225,0.5079584113029334
2011-04-01,1.1608344549125071,0.8131659694005533
2011-05-01,3.143189755529696,1.5689915868881021
2011-06-01,-2.198215629366873,0.6776909780135343
2011-07-01,-0.8188162883991934,0.016627868613761088
2011-08-01,0.8477393617021267,-0.7309015514439521
2011-09-01,0.7087522663590029,0.243038745520896
2011-10-01,4.260774686306612,1.925952053239044
2011-11-01,2.2029197844173343,2.380478574623446
2011-12-01,0.6809338521400754,2.3710509768104737
2012-01-01,0.4271548436308281,1.1006386686457592
2012-02-01,0.6531976302597498,0.587031192727383
2012-03-01,0.4527618472683459,0.510987319858458
2012-04-01,1.8579727564102422,0.986075601430958
2012-05-01,-0.4965829195142324,0.6000743678770348
2012-06-01,-1.5169483150508922,-0.06180368053322338
2012-07-01,-0.5820079273493484,-0.8662594482539365
2012-08-01,0.6156951804188848,-0.4982454007418813
2012-09-01,1.0934443497015556,0.37323104513258265
2012-10-01,2.4261969734557187,1.375558047311709
2012-11-01,0.41658593295874624,1.3086429060714888
2012-12-01,0.3859141341051586,1.0717439287406982
2013-01-01,1.9125420470927468,0.9025065413697186
2013-02-01,0.2593360995850613,0.8498087664107201
2013-03-01,0.7524808352537216,0.9724132032593147
2013-04-01,0.3780983055594378,0.46308545368167753
2013-05-01,-0.08370535714284921,0.3483749939946046
2013-06-01,0.6050451456762529,0.299402984193331
2013-07-01,0.12953367875647714,0.21654463463036677
2013-08-01,-0.37885788209203186,0.11776748726122221
2013-09-01,0.7095816714590475,0.15243221894469805
2013-10-01,2.339396730370713,0.8838668654784998
2013-11-01,-0.12149574764882543,0.9706669178811245
2013-12-01,0.4910794737790658,0.8975911582655538
2014-01-01,2.4209818426361718,0.9243959375301758
2014-02-01,0.28890347997374555,1.062439297265505
2014-03-01,1.3225088385491635,1.340393003605178
2014-04-01,1.6800206771775628,1.0954200737204989
2014-05-01,0.2838501948822403,1.0937220707778694
2014-06-01,0.07604241476912854,0.6774597948497219
2014-07-01,0.1435265313014522,0.16776899114328003
2014-08-01,-0.2571344265059117,-0.012675342370016551
2014-09-01,-0.1817259741357491,-0.09859577924086205
2014-10-01,2.455650112197816,0.6644063951406265
2014-11-01,0.24794412992272807,0.8340354139215522
2014-12-01,-0.7048930293911626,0.6575631256753756
2015-01-01,1.1208900697442736,0.2185393722819784
2015-02-01,0.7307660727481791,0.3791751991625292
2015-03-01,1.4509292468209978,1.1004332283306661
2015-04-01,2.0046601317692536,1.394109755650863
2015-05-01,0.4765468079240609,1.3087401053045067
2015-06-01,-1.097522734399503,0.45324283600269855
2015-07-01,-0.21005072923272472,-0.27909203725124954
2015-08-01,0.08340283569641116,-0.40932448062287463
2015-09-01,0.9365079365079465,0.26877599624788306
2015-10-01,1.9185406510457526,0.9767011203803744
2015-11-01,0.8794939052615192,1.2437265725321556
2015-12-01,0.20648516365862069,0.9990541804254516
2016-01-01,2.0300694497443317,1.0358816205510157
2016-02-01,-0.2879796544244084,0.6446071735296988
2016-03-01,-0.2287986197066938,0.4986666777613724
2016-04-01,0.8496240601503668,0.10958639936149428
2016-05-01,0.4995153955118292,0.37244059670900054
2016-06-01,0.48961424332343295,0.6127787060568046
2016-07-01,1.2069983759043224,0.7314836080168918
2016-08-01,-0.7367154163171463,0.3167503312680564
2016-09-01,-0.13961862071498743,0.10692829207352705
2016-10-01,1.9353177085249529,0.3464888422742396
2016-11-01,0.6172171088251188,0.800665838546144
2016-12-01,2.2061988807576594,1.5838666650398237
2017-01-01,2.8886314976659166,1.8995602197073191
2017-02-01,0.8664801801187227,1.9836374523685807
2017-03-01,1.1803300865800948,1.6412778050708399
2017-04-01,1.5041615135207298,1.1833223421300998
2017-05-01,0.2370994829913986,0.9724305252088561
2017-06-01,-0.6110581819376515,0.3729762455057184
2017-07-01,-0.33385118831189553,-0.23656096985067432
2017-08-01,0.427832316264265,-0.17332388102986318
2017-09-01,0.48215052343052456,0.19135014167186437
2017-10-01,2.8165773819305295,1.236094901197493
2017-11-01,2.0937220304309,1.792793700222961
2017-12-01,0.7952659757663127,1.8984172594842974
2018-01-01,0.9194545398067744,1.2677954334326946
2018-02-01,0.701775985718256,0.805459406924558
2018-03-01,1.1859278051166156,0.9355252941174452
2018-04-01,2.277601570759691,1.3862969486338583
2018-05-01,1.807495791370095,1.7560256556544473
2018-06-01,2.915494183516576,2.3325236869510713
2018-07-01,0.24241740895254438,1.6492121097969603
2018-08-01,2.6320229458410616,1.9228896841897214
2018-09-01,7.622335470436736,3.453600721351102
2018-10-01,3.2561099796333925,4.48012584598505
2018-11-01,-1.9872284819645425,2.888526426320648
2018-12-01,-0.6490076220662555,0.1821189064125095
2019-01-01,0.6608431447018726,-0.6643477555301036
2019-02-01,-0.0050306871918648355,0.000838504108724436
2019-03-01,1.2023947275745739,0.6181901988165706
2019-04-01,2.045635315172012,1.0774921843984542
2019-05-01,0.862257946656908,1.3688772767844304
2019-06-01,-0.6158081576468799,0.7581404035856165
2019-07-01,1.491957039412939,0.5755789584427573
2019-08-01,0.7541658686075481,0.539637832962403
2019-09-01,0.7984221657201251,1.014284253858544
2019-10-01,2.5578160729861743,1.3666677377916825
2019-11-01,0.46662375873482986,1.270145815663959
2019-12-01,0.8923055803418345,1.3015769850188263
2020-01-01,1.0703675987028483,0.8094471919637636
2020-02-01,0.13911014382193,0.6997842099988771
2020-03-01,0.5915171069436065,0.5996130935520982
2020-04-01,1.1337565430448837,0.6206399310692445
2020-05-01,1.6342172495815266,1.1189337029201996
2020-06-01,0.7216226758548938,1.1625108314123223
2020-07-01,0.3765141246584447,0.9093921256497106
2020-08-01,0.7416298709649771,0.6131158547469706
2020-09-01,1.1489361702127665,0.755199496885739
2020-10-01,2.7555742532604066,1.5450039931381276
2020-11-01,3.01944728761514,2.304634598719635
2020-12-01,1.526080476900149,2.4316280425863868
2021-01-01,1.6127453858649776,2.0504694730057116
2021-02-01,0.8590635052102558,1.3320694872230643
2021-03-01,1.006435842102249,1.1588898125906466
2021-04-01,2.0325203252032464,1.2979984314903437
2021-05-01,0.7856944315760339,1.2734296820378743
2021-06-01,1.9397304602033705,1.5843944159919854
2021-07-01,1.9803765962051578,1.5670865625268426
2021-08-01,1.070001061158088,1.6625005210910038
2021-09-01,1.1199188058865772,1.3892392941777132
2021-10-01,2.888192846141857,1.689202310145288
2021-11-01,4.097147470398288,2.694462646196416
2021-12-01,16.478704840690227,7.650726981427658
2022-01-01,12.217891276303572,10.81090158990814
2022-02-01,5.200311499524091,11.200964488829413
2022-03-01,5.8832514746316456,7.721435651437147
2022-04-01,8.058770654622528,6.373824152352459
2022-05-01,2.747111681643122,5.540457224178974
2022-06-01,5.258370814592683,5.332428242809528
2022-07-01,2.1032940528529886,3.36067571682348
2022-08-01,0.9225675650540444,2.745204928442746
2022-09-01,2.8115151403453886,1.9428101741595372
2022-10-01,3.844257813550356,2.5189569666149048
2022-11-01,3.1089782319736248,3.254005899161916
2022-12-01,0.96936212958314,2.633591712473038
2023-01-01,4.471140294151765,2.83970218240579
2023-02-01,3.1473442794676787,2.8524558846767967
2023-03-01,1.9834278372327319,3.1956356119920093
2023-04-01,1.7969899287088253,2.307513774863401
2023-05-01,-1.78157214107324,0.6512501143654204
2023-06-01,4.031448771249435,1.3205457589360758
2023-07-01,9.35405726885028,3.7681741730290597
2023-08-01,9.041406617895763,7.447668842488109
2023-09-01,3.4165627566071555,7.23555777542455
2023-10-01,3.2578136946983305,5.204622711070739
2023-11-01,3.5155871748281164,3.3966000198651924
2023-12-01,3.177188512818252,3.3167623768519228
2024-01-01,4.604094780461532,3.763841509860888
2024-02-01,4.059855205465479,3.945381481921184
2024-03-01,2.7260745799914776,3.7936692780666137
