dates,GDP,C,G,I,Inventories,X,M
1997-07-01,5.1,4.4,0.34,2.47,-1.41,1.05,-1.76
1997-10-01,3.5,3.09,0.37,0.49,0.62,-0.05,-1.05
1998-01-01,4.1,2.63,-0.25,2.06,1.24,0.22,-1.83
1998-04-01,3.8,4.56,1.25,2.41,-2.88,-0.47,-1.12
1998-07-01,5.1,3.42,0.56,1.38,0.6,-0.18,-0.65
1998-10-01,6.6,3.81,0.45,2.03,0.32,1.53,-1.54
1999-01-01,3.8,2.69,0.52,1.27,0.83,-0.14,-1.36
1999-04-01,3.4,4.01,0.27,1.76,-1.73,0.5,-1.42
1999-07-01,5.4,2.99,0.88,1.76,0.38,1.24,-1.85
1999-10-01,6.7,3.91,1.14,0.41,1.72,0.9,-1.35
2000-01-01,1.5,3.99,-0.51,2.17,-2.73,0.6,-2.07
2000-04-01,7.5,2.54,0.73,1.74,2.95,1.31,-1.78
2000-07-01,0.4,2.52,-0.3,0.32,-1.11,1.03,-2.06
2000-10-01,2.4,2.31,0.44,0.21,-0.04,-0.43,-0.09
2001-01-01,-1.3,0.94,1.12,-0.48,-3.12,-0.53,0.75
2001-04-01,2.5,0.52,1.26,-0.91,1.06,-1.22,1.81
2001-07-01,-1.6,0.9,-0.08,-0.54,-1.03,-2.04,1.19
2001-10-01,1.1,4.27,1.21,-1.69,-1.89,-1.31,0.51
2002-01-01,3.4,0.58,1.3,-0.6,2.77,0.77,-1.43
2002-04-01,2.5,1.34,0.57,-0.06,1.29,1.06,-1.72
2002-07-01,1.6,1.86,0.39,-0.1,0.06,0.11,-0.68
2002-10-01,0.5,1.48,0.56,-0.3,0.26,-0.55,-0.95
2003-01-01,2.1,1.32,0.07,0.62,-0.03,-0.12,0.26
2003-04-01,3.6,3.1,0.72,1.66,-1.17,0.06,-0.77
2003-07-01,6.8,3.87,0.19,2.29,0.3,0.98,-0.82
2003-10-01,4.7,1.88,0.47,1.3,1.16,1.62,-1.71
2004-01-01,2.3,2.52,0.35,-0.19,0.34,0.84,-1.57
2004-04-01,3.1,1.49,0.21,1.94,0.96,0.8,-2.26
2004-07-01,3.8,3.18,0.15,1.55,-0.34,0.13,-0.82
2004-10-01,4.1,3.07,-0.03,1.35,0.24,0.91,-1.39
2005-01-01,4.5,1.74,0.4,1.31,0.84,0.74,-0.52
2005-04-01,2.0,2.97,-0.04,1.26,-2.27,0.88,-0.81
2005-07-01,3.2,2.23,0.25,1.32,-0.29,-0.01,-0.33
2005-10-01,2.2,0.48,0.05,0.33,2.17,1.22,-2.0
2006-01-01,5.5,2.92,0.96,1.44,-0.18,1.65,-1.29
2006-04-01,1.0,1.38,-0.03,-0.43,-0.03,0.78,-0.63
2006-07-01,0.6,1.73,-0.11,-0.48,0.15,-0.05,-0.64
2006-10-01,3.5,2.61,0.65,-0.51,-1.01,1.63,0.1
2007-01-01,1.2,1.72,0.13,-0.01,-0.58,0.88,-0.93
2007-04-01,2.5,0.74,0.71,0.38,0.29,0.69,-0.35
2007-07-01,2.3,1.8,0.36,-0.4,-0.47,1.41,-0.37
2007-10-01,2.5,1.05,0.62,-0.7,-0.12,1.05,0.64
2008-01-01,-1.7,-0.41,0.17,-1.12,-0.8,0.73,-0.26
2008-04-01,2.4,0.75,0.68,-0.57,-0.57,1.44,0.67
2008-07-01,-2.1,-2.06,0.65,-1.73,0.39,-0.23,0.9
2008-10-01,-8.5,-2.31,0.58,-4.38,-1.99,-2.88,2.51
2009-01-01,-4.5,-0.6,0.94,-5.06,-2.0,-3.59,5.84
2009-04-01,-0.7,-1.27,1.23,-2.11,-1.06,0.3,2.2
2009-07-01,1.4,1.88,0.23,0.24,-0.35,1.6,-2.19
2009-10-01,4.4,-0.28,0.16,0.31,4.49,2.46,-2.75
2010-01-01,1.9,1.55,-0.37,-0.02,1.25,1.05,-1.51
2010-04-01,3.9,2.45,0.26,2.03,0.93,1.06,-2.79
2010-07-01,3.1,1.95,-0.59,0.33,2.25,1.39,-2.2
2010-10-01,2.1,1.68,-0.52,1.09,-1.25,1.36,-0.24
2011-01-01,-0.9,1.07,-1.0,-0.07,-1.05,0.44,-0.33
2011-04-01,2.7,0.3,-0.55,1.35,0.98,0.9,-0.25
2011-07-01,-0.1,0.84,-1.15,2.42,-2.18,0.75,-0.76
2011-10-01,4.6,0.48,-0.05,1.54,3.05,0.43,-0.89
