dates,Policy rate,Inflation,Inflation expectation
1984-10-01,,53.05291723202173,
1984-11-01,,53.07189542483661,
1984-12-01,,49.68632371392723,
1985-01-01,,52.79126213592231,
1985-02-01,,55.43608124253285,
1985-03-01,,57.93742757821552,
1985-04-01,,49.94547437295529,
1985-05-01,,46.51404786680542,
1985-06-01,,36.42578124999998,
1985-07-01,,37.17328170377541,
1985-08-01,,37.20491029272899,
1985-09-01,,40.79555966697501,
1985-10-01,,43.439716312056746,
1985-11-01,,44.57728437233135,
1985-12-01,,44.17435037720034,
1986-01-01,,40.984908657664796,
1986-02-01,,38.816295157571076,
1986-03-01,,34.26265590608952,
1986-04-01,,33.60000000000001,
1986-05-01,,32.88352272727273,
1986-06-01,,37.15103793843952,
1986-07-01,,37.75582215949187,
1986-08-01,,35.51273227804541,
1986-09-01,,32.45729303547964,
1986-10-01,,33.62175525339926,
1986-11-01,,30.596574128765507,
1986-12-01,,30.69767441860465,
1987-01-01,,30.36619718309861,
1987-02-01,,31.56146179401993,
1987-03-01,,34.699453551912555,
1987-04-01,,37.01687534022864,
1987-05-01,,41.154462854088706,
1987-06-01,,37.68267223382047,
1987-07-01,,37.75614754098362,
1987-08-01,,38.9029964448959,
1987-09-01,,39.63293650793651,
1987-10-01,,36.44773358001849,
1987-11-01,,41.74581637268204,
1987-12-01,,55.02669039145906,
1988-01-01,,64.21780466724285,
1988-02-01,,65.90909090909089,
1988-03-01,,68.76267748478702,
1988-04-01,,75.60588001589194,
1988-05-01,,73.15410829231352,
1988-06-01,,74.90523123578467,
1988-07-01,,74.30271476385273,
1988-08-01,,75.46617915904936,
1988-09-01,,80.5683836589698,
1988-10-01,,81.93220338983052,
1988-11-01,,80.40842373962987,
1988-12-01,,66.22668579626973,
1989-01-01,,62.5,
1989-02-01,,64.1298833079655,
1989-03-01,,60.24038461538461,
1989-04-01,,60.20361990950225,
1989-05-01,,59.56702383555652,
1989-06-01,,61.46510619852621,
1989-07-01,,63.772135694474066,
1989-08-01,,65.59699937486978,
1989-09-01,,65.13869761951602,
1989-10-01,,66.07043040804919,
1989-11-01,,64.50300672090555,
1989-12-01,,64.26721905748316,
1990-01-01,,60.03238866396763,
1990-02-01,,59.4899536321484,
1990-03-01,,62.82628262826282,
1990-04-01,,63.465612201666445,
1990-05-01,,63.601480060298776,
1990-06-01,,62.550335570469805,
1990-07-01,,56.30536737884315,
1990-08-01,,54.82572039763431,
1990-09-01,,59.32809149392422,
1990-10-01,,60.3051722203523,
1990-11-01,,61.315987528222784,
1990-12-01,,60.42454812946616,
1991-01-01,,61.991499696417726,
1991-02-01,,63.5429789708305,
1991-03-01,,62.27197346600333,
1991-04-01,,62.14254859611232,
1991-05-01,,62.447646171888074,
1991-06-01,,64.87200660611066,
1991-07-01,,68.60310051675278,
1991-08-01,,70.95253576072822,
1991-09-01,,66.84611933602514,
1991-10-01,,66.47536394176929,
1991-11-01,,66.84217541988802,
1991-12-01,,71.1319271583912,
1992-01-01,,78.49825087456273,
1992-02-01,,77.8442758947618,
1992-03-01,,78.69187531936636,
1992-04-01,,73.99296675191816,
1992-05-01,,69.8654153560563,
1992-06-01,,65.79685465290994,
1992-07-01,,65.79662860250137,
1992-08-01,,65.50347057145574,
1992-09-01,,67.66603925786502,
1992-10-01,,69.17934919700666,
1992-11-01,,68.59345663723886,
1992-12-01,,65.96746411483254,
1993-01-01,,59.767620914117735,
1993-02-01,,58.154799586845684,
1993-03-01,,58.011629015346465,
1993-04-01,,58.97106109324759,
1993-05-01,,65.02641005403436,
1993-06-01,,67.235597982056,
1993-07-01,,73.11786278660664,
1993-08-01,,71.242674939676,
1993-09-01,,68.24633148905461,
1993-10-01,,67.20260430903804,
1993-11-01,,69.6189934603355,
1993-12-01,,71.07636246223392,
1994-01-01,,75.23876281433455,
1994-02-01,,76.96504940274296,
1994-03-01,,76.95200176952002,
1994-04-01,,108.04438280166436,
1994-05-01,,113.38042418556738,
1994-06-01,,114.95664739884393,
1994-07-01,,110.12021632048499,
1994-08-01,,111.36329324140708,
1994-09-01,,111.29221872716295,
1994-10-01,,111.04571666369418,
1994-11-01,,109.53817785600535,
1994-12-01,,115.70028445475012,
1995-01-01,,125.0,
1995-02-01,,123.80952380952381,
1995-03-01,,121.59090909090908,
1995-04-01,,87.96296296296293,
1995-05-01,,80.17241379310344,
1995-06-01,,80.67226890756302,
1995-07-01,,81.14754098360655,
1995-08-01,,83.33333333333333,
1995-09-01,,86.46616541353383,
1995-10-01,,84.50704225352115,
1995-11-01,,82.0,
1995-12-01,,76.24999999999997,
1996-01-01,,78.33333333333331,
1996-02-01,,77.1276595744681,
1996-03-01,,78.46153846153847,
1996-04-01,,80.7881773399015,
1996-05-01,,82.29665071770336,
1996-06-01,,82.32558139534885,
1996-07-01,,81.90045248868776,
1996-08-01,,81.81818181818181,
1996-09-01,,79.03225806451614,
1996-10-01,,79.7709923664122,
1996-11-01,,80.21978021978022,
1996-12-01,,80.14184397163122,
1997-01-01,,75.70093457943925,
1997-02-01,,77.77777777777777,
1997-03-01,,77.29885057471265,
1997-04-01,,77.11171662125341,
1997-05-01,,77.69028871391075,
