dates,Inflation,Goods,Services
1980-01-01,90.29126213592231,,
1980-02-01,126.6666666666667,,
1980-03-01,134.54545454545453,,
1980-04-01,125.61983471074379,,
1980-05-01,140.79999999999998,,
1980-06-01,125.95419847328246,,
1980-07-01,115.71428571428571,,
1980-08-01,108.21917808219182,,
1980-09-01,101.28205128205127,,
1980-10-01,95.20958083832333,,
1980-11-01,94.70588235294119,,
1980-12-01,86.51685393258428,,
1981-01-01,82.65306122448979,,
1981-02-01,54.20168067226889,,
1981-03-01,41.86046511627908,,
1981-04-01,36.630036630036635,,
1981-05-01,26.578073089700993,,
1981-06-01,29.054054054054056,,
1981-07-01,34.105960264900645,,
1981-08-01,33.22368421052631,,
1981-09-01,33.12101910828025,,
1981-10-01,30.368098159509227,,
1981-11-01,28.70090634441087,,
1981-12-01,30.12048192771084,,
1982-01-01,31.28491620111733,,
1982-02-01,31.062670299727515,,
1982-03-01,34.42622950819671,,
1982-04-01,32.975871313672926,,
1982-05-01,30.708661417322823,,
1982-06-01,32.460732984293195,,
1982-07-01,26.419753086419774,,
1982-08-01,28.148148148148167,,
1982-09-01,27.990430622009566,,
1982-10-01,29.176470588235293,,
1982-11-01,31.924882629107977,,
1982-12-01,34.49074074074075,,
1983-01-01,28.936170212765955,,
1983-02-01,29.10602910602911,,
1983-03-01,28.861788617886177,,
1983-04-01,29.63709677419355,,
1983-05-01,29.919678714859433,,
1983-06-01,29.64426877470354,,
1983-07-01,29.49218749999998,,
1983-08-01,30.635838150289008,,
1983-09-01,30.841121495327116,,
1983-10-01,34.244080145719494,,
1983-11-01,36.12099644128113,,
1983-12-01,37.17728055077452,,
1984-01-01,35.973597359735976,,
1984-02-01,34.78260869565217,,
1984-03-01,36.1198738170347,,
1984-04-01,42.61275272161742,,
1984-05-01,48.53168469860898,,
1984-06-01,56.09756097560976,,
1984-07-01,55.80693815987936,,
1984-08-01,56.194690265486734,,
1984-09-01,54.42857142857142,,
1984-10-01,53.05291723202173,,
1984-11-01,53.07189542483661,,
1984-12-01,49.68632371392723,,
1985-01-01,52.79126213592231,,
1985-02-01,55.43608124253285,,
1985-03-01,57.93742757821552,,
1985-04-01,49.94547437295529,,
1985-05-01,46.51404786680542,,
1985-06-01,36.42578124999998,,
1985-07-01,37.17328170377541,,
1985-08-01,37.20491029272899,,
1985-09-01,40.79555966697501,,
1985-10-01,43.439716312056746,,
1985-11-01,44.57728437233135,,
1985-12-01,44.17435037720034,,
1986-01-01,40.984908657664796,,
1986-02-01,38.816295157571076,,
1986-03-01,34.26265590608952,,
1986-04-01,33.60000000000001,,
1986-05-01,32.88352272727273,,
1986-06-01,37.15103793843952,,
1986-07-01,37.75582215949187,,
1986-08-01,35.51273227804541,,
1986-09-01,32.45729303547964,,
1986-10-01,33.62175525339926,,
1986-11-01,30.596574128765507,,
1986-12-01,30.69767441860465,,
1987-01-01,30.36619718309861,,
1987-02-01,31.56146179401993,,
1987-03-01,34.699453551912555,,
1987-04-01,37.01687534022864,,
1987-05-01,41.154462854088706,,
1987-06-01,37.68267223382047,,
1987-07-01,37.75614754098362,,
