dates,Portfolio investment,Direct investment,Other investment,Financial account
2000-06-01,0.539,0.06333333333333334,0.9526666666666667,1.4703333333333333
2000-07-01,1.104,-0.17033333333333334,0.364,1.1103333333333332
2000-08-01,1.0673333333333332,-0.12266666666666667,1.0723333333333334,1.927
2000-09-01,0.7813333333333333,-0.14233333333333334,0.48233333333333334,1.027
2000-10-01,0.02,0.12333333333333332,1.182,1.3293333333333333
2000-11-01,-1.4973333333333332,0.19866666666666666,0.7583333333333334,-0.5363333333333333
2000-12-01,-1.6656666666666669,0.123,1.999,-0.4943333333333333
2001-01-01,-1.2846666666666668,0.10933333333333332,2.086,-0.04
2001-02-01,-0.8743333333333334,0.5273333333333333,1.57,-0.19933333333333333
2001-03-01,-0.9526666666666667,0.5246666666666666,-0.13533333333333333,-1.035
2001-04-01,-1.528,0.5243333333333333,-0.833,-2.3083333333333336
2001-05-01,-0.387,0.004333333333333333,-0.4583333333333333,-2.1106666666666665
2001-06-01,-0.11433333333333333,0.04066666666666666,-0.8196666666666667,-2.163
2001-07-01,-0.184,0.08233333333333333,-0.204,-2.0763333333333334
2001-08-01,-0.17166666666666666,0.11666666666666667,-0.33666666666666667,-1.403
2001-09-01,-0.244,0.165,0.7223333333333334,-0.368
2001-10-01,-0.02666666666666667,0.2846666666666667,0.14166666666666666,-0.11066666666666668
2001-11-01,-0.14666666666666667,0.293,-0.7903333333333333,-0.644
2001-12-01,-0.182,0.22133333333333335,-0.6683333333333333,-1.2863333333333333
2002-01-01,0.03066666666666667,0.043,-0.4313333333333333,-1.015
2002-02-01,-0.004,0.01633333333333333,1.1593333333333333,-0.4786666666666667
2002-03-01,-0.019,0.035333333333333335,1.2666666666666668,0.29
2002-04-01,0.006,0.05433333333333334,1.518,0.22133333333333335
2002-05-01,-0.04133333333333333,0.139,0.45966666666666667,0.19333333333333333
2002-06-01,-0.24233333333333335,0.125,0.432,-0.04933333333333333
2002-07-01,-0.4346666666666667,0.10533333333333333,0.2986666666666667,-0.4146666666666667
2002-08-01,-0.245,0.07466666666666667,0.8363333333333334,-0.09866666666666667
2002-09-01,-0.151,0.06533333333333333,0.478,-0.3723333333333333
2002-10-01,0.03833333333333334,0.15366666666666665,0.18033333333333335,-0.008333333333333333
2002-11-01,0.06666666666666667,0.1,-0.03666666666666667,0.13
2002-12-01,0.22866666666666666,0.08733333333333333,0.20633333333333334,0.5223333333333333
2003-01-01,0.39766666666666667,0.026,0.9106666666666666,1.355
2003-02-01,0.2926666666666667,0.035,1.0743333333333334,1.4226666666666667
2003-03-01,-0.023,0.07533333333333334,1.1443333333333332,1.255
2003-04-01,-0.4896666666666667,0.054,0.633,0.022
2003-05-01,-0.16733333333333333,0.060333333333333336,0.01933333333333333,-0.25
2003-06-01,0.312,0.035333333333333335,-0.35633333333333334,-0.17
2003-07-01,0.331,0.059,-0.2926666666666667,0.17033333333333334
2003-08-01,0.3473333333333333,0.108,0.04466666666666667,0.517
2003-09-01,0.541,0.13566666666666666,0.676,1.37
2003-10-01,0.7043333333333334,0.147,-0.182,0.751
2003-11-01,0.27266666666666667,0.162,-0.579,0.12366666666666667
2003-12-01,0.0026666666666666666,0.161,-0.3333333333333333,-0.06766666666666667
2004-01-01,0.4713333333333333,0.15433333333333335,0.6653333333333333,1.3826666666666667
2004-02-01,0.7626666666666666,0.19666666666666666,1.7073333333333331,2.7786666666666666
2004-03-01,0.933,0.18433333333333335,0.9666666666666667,2.4763333333333333
2004-04-01,0.32966666666666666,0.16266666666666665,1.3286666666666667,2.058
2004-05-01,0.3333333333333333,0.09233333333333332,0.614,1.2573333333333332
2004-06-01,0.4073333333333333,0.172,0.527,1.3226666666666667
2004-07-01,0.439,0.26566666666666666,-0.14,0.9356666666666666
2004-08-01,0.366,0.21333333333333335,0.352,1.0976666666666668
2004-09-01,0.152,0.19533333333333333,0.4943333333333333,1.0076666666666667
2004-10-01,0.5596666666666666,0.16466666666666666,0.135,1.025
