dates,Retail sales,Industrial Production
1999-04-01,,-4.554958371529394
1999-05-01,,-3.280431082683577
1999-06-01,,1.0812877767887974
1999-07-01,,-1.5192016394903307
1999-08-01,,-8.032469871523462
1999-09-01,,-6.391177169143836
1999-10-01,,-3.8920042478242767
1999-11-01,,-0.959414688017679
1999-12-01,,5.439664115971898
2000-01-01,,1.7510012861779334
2000-02-01,,4.5977962617874235
2000-03-01,,0.48782856402951325
2000-04-01,,4.6785933958943815
2000-05-01,,2.540117143329046
2000-06-01,,4.067800920627662
2000-07-01,,6.1776585775681125
2000-08-01,,15.79278285696617
2000-09-01,,7.892514113448401
2000-10-01,,10.554400811203246
2000-11-01,,10.265523729876636
2000-12-01,,5.210207780973164
2001-01-01,,0.6271101519800704
2001-02-01,,-1.7913763314283626
2001-03-01,,-5.823269238822659
2001-04-01,,-8.711786756827244
2001-05-01,,-10.271819097033996
2001-06-01,,-10.874439461883412
2001-07-01,,-10.066709678990115
2001-08-01,,-9.75423042344291
2001-09-01,,-6.303337479655169
2001-10-01,,-12.940735526688673
2001-11-01,,-12.466065935918035
2001-12-01,,-8.839876101140131
2002-01-01,,-2.3574283073638735
2002-02-01,,2.3289608929186967
2002-03-01,,9.853600136822283
2002-04-01,,12.64276027288811
2002-05-01,,9.457131513990301
2002-06-01,,9.628296745668607
2002-07-01,,9.343169435890486
2002-08-01,,6.712828251942304
2002-09-01,,10.11139108408987
2002-10-01,,14.01900561768259
2002-11-01,,9.585960762200774
2002-12-01,,16.480020930945095
2003-01-01,,16.01453139581388
2003-02-01,,6.441191381096467
2003-03-01,,6.957967598402037
2003-04-01,,1.8230599049051
2003-05-01,,5.181685427633331
2003-06-01,,8.499735819444298
2003-07-01,,9.906226788809125
2003-08-01,,12.10108267655885
2003-09-01,,9.153482792232136
2003-10-01,,10.530516518397093
2003-11-01,,12.534434397374516
2003-12-01,,8.039308408452793
2004-01-01,,6.606337441466303
2004-02-01,,10.76598123874013
2004-03-01,,9.594093792485081
2004-04-01,,14.99588857744778
2004-05-01,,18.13648467111262
2004-06-01,,12.46556632588376
2004-07-01,,11.635490202151889
2004-08-01,,8.151065572418803
2004-09-01,,5.799227905315352
2004-10-01,,3.3352589276291145
2004-11-01,,4.357741892313882
2004-12-01,,4.232788311343705
2005-01-01,,19.280436340902106
2005-02-01,,13.387549074593386
2005-03-01,,11.430461218884403
2005-04-01,,10.675988486039456
2005-05-01,,8.656728540933223
2005-06-01,,9.293757446099837
2005-07-01,,10.012611930886607
2005-08-01,,12.673475663216438
2005-09-01,,16.404060760782336
2005-10-01,,22.555910027924785
2005-11-01,,22.155104701551153
2005-12-01,,18.88594944150499
2006-01-01,,3.0964704393933395
2006-02-01,,8.285106593460934
