dates,Total NPL,Consumer loan NPL,SME loan NPL
2014-04-01,2.82,2.322863503554873,3.2916082902690063
2014-05-01,2.83,2.286308321051783,3.3358320376198547
2014-06-01,2.78,2.3017286109717716,3.205146059210696
2014-07-01,2.8,2.3823984590687086,3.1918530388400232
2014-08-01,2.89,2.4622162200423934,3.367112947772653
2014-09-01,2.92,2.4973241916308453,3.355689495032474
2014-10-01,3.0,2.59089770460521,3.4413959491255253
2014-11-01,3.01,2.627521849570763,3.459256563448334
2014-12-01,2.85,2.5128508109197494,3.3822485547275414
2015-01-01,2.87,2.615400723702702,3.413391891415979
2015-02-01,2.88,2.675039656490344,3.410645204708239
2015-03-01,2.83,2.6279377815587015,3.467952182996408
2015-04-01,2.85,2.7281811694440457,3.4808842385226364
2015-05-01,2.88,2.832592645857395,3.5269271160511884
2015-06-01,2.88,2.890424645395273,3.6151909460323175
2015-07-01,2.87,2.9545168999620093,3.687561133454648
2015-08-01,2.89,3.0481924118477797,3.767512270464053
2015-09-01,2.93,3.153613460187178,3.9141092905293196
2015-10-01,3.01,3.2444463462223694,3.961138948200014
2015-11-01,3.05,3.3035677990664127,3.9867406464192974
2015-12-01,3.09,3.335732254056352,4.082929173249756
2016-01-01,3.18,3.4258750112311827,4.205865614506053
2016-02-01,3.26,3.484362137183487,4.296744715112037
2016-03-01,3.28,3.42963574539199,4.289654682531682
2016-04-01,3.36,3.4438231000035078,4.480473830159522
2016-05-01,3.35,3.4923000910796644,4.567226525529399
2016-06-01,3.3,3.4548317106942417,4.48435292982721
2016-07-01,3.17,3.5775659151988646,4.564758807068681
2016-08-01,3.26,3.6355061293816555,4.690769699767383
2016-09-01,3.31,3.6605888410805885,4.888340317546721
2016-10-01,3.34,3.66090268136137,5.022111396336973
2016-11-01,3.24,3.5446284635891545,5.084209608247396
2016-12-01,3.24,3.467693468757764,5.1488013858771815
2017-01-01,3.19,3.4615947752677636,5.126081167219793
2017-02-01,3.25,3.386849225417481,5.2370481098304555
2017-03-01,3.21,3.3082466620493998,5.128715938538808
2017-04-01,3.19,3.2415478835311196,5.033138079939951
2017-05-01,3.18,3.2020437752510187,4.988756763938988
2017-06-01,3.09,3.064023825420264,4.882540663047571
2017-07-01,3.1,3.04282510547843,4.947512608135438
2017-08-01,3.12,3.0216579826282337,5.015781226489325
2017-09-01,3.04,2.9114432229535145,4.986038268704755
2017-10-01,3.01,2.898693076521061,5.011699488758241
2017-11-01,2.93,2.849898355668187,4.902764624724078
2017-12-01,2.95,2.7989335698927533,4.939380383906634
2018-01-01,2.94,2.7583127402742256,5.00080226993432
2018-02-01,2.92,2.7241157257905178,4.887666435248975
2018-03-01,2.9,2.7205443676668972,4.893222771616803
2018-04-01,2.88,2.6896508675278468,4.8600395615606296
2018-05-01,2.82,2.680271018548924,4.859855729415274
2018-06-01,3.03,2.6225380102468807,4.738986127193127
2018-07-01,3.05,2.6648273286974216,4.938008730486934
2018-08-01,2.85,2.74658878016178,4.884286699121887
2018-09-01,3.22,2.7907490336003273,5.448483498330722
2018-10-01,3.47,2.8519793586807465,5.843335986994225
2018-11-01,3.7,2.9690328647171826,6.458439173902426
2018-12-01,3.87,2.9216140678931986,7.174132926643652
2019-01-01,4.03,3.0584173724050006,7.515607011758548
2019-02-01,4.11,3.1537226701749352,7.697190403187676
2019-03-01,4.04,3.1145299576509435,7.6319547626951305
2019-04-01,4.05,3.1372748750879604,7.778356738512732
2019-05-01,4.18,3.17526790537785,8.168300435143946
2019-06-01,4.36,3.244294625928815,8.28668916279152
2019-07-01,4.57,3.3001953016109047,8.629739747316101
2019-08-01,4.64,3.3440157504344463,8.856373433897108
2019-09-01,4.96,3.221386247599142,9.211305547012833
2019-10-01,5.15,3.150731641455772,9.566214447141721
2019-11-01,5.23,3.072989059816869,9.913959430276767
2019-12-01,5.36,2.855274368326452,10.146319746199895
2020-01-01,5.34,2.8143263500198334,10.20663349534103
2020-02-01,5.2,2.752882132052178,9.865928245321504
2020-03-01,4.96,2.6156994687735606,9.404210820526325
2020-04-01,4.64,2.501030390495865,8.230751276057637
