dates,Return to asset,Return to equity
2016-05-01,0.8241666666666667,6.1691666666666665
2016-06-01,0.8383333333333333,6.2749999999999995
2016-07-01,0.86,6.439166666666668
2016-08-01,0.8925,6.690833333333333
2016-09-01,0.9249999999999999,6.925
2016-10-01,0.9583333333333334,7.170833333333334
2016-11-01,0.9925,7.4175
2016-12-01,1.0266666666666666,7.6675
2017-01-01,1.0291666666666666,7.69
2017-02-01,1.04,7.775833333333332
2017-03-01,1.0525,7.878333333333333
2017-04-01,1.0683333333333334,8.009166666666667
2017-05-01,1.0841666666666667,8.141666666666666
2017-06-01,1.095,8.234166666666667
2017-07-01,1.1025,8.305
2017-08-01,1.1091666666666666,8.371666666666668
2017-09-01,1.1183333333333334,8.47
2017-10-01,1.1275000000000002,8.575833333333334
2017-11-01,1.1375,8.695833333333333
2017-12-01,1.1483333333333334,8.829166666666666
2018-01-01,1.1500000000000001,8.830833333333333
2018-02-01,1.1466666666666667,8.789166666666667
2018-03-01,1.1424999999999998,8.744166666666667
2018-04-01,1.1383333333333334,8.6975
2018-05-01,1.1341666666666665,8.663333333333334
2018-06-01,1.1300000000000001,8.633333333333335
2018-07-01,1.125,8.606666666666667
2018-08-01,1.1141666666666667,8.57
2018-09-01,1.0983333333333334,8.501666666666667
2018-10-01,1.0816666666666668,8.430833333333334
2018-11-01,1.0641666666666667,8.358333333333333
2018-12-01,1.0433333333333332,8.270833333333332
2019-01-01,1.0366666666666666,8.231666666666667
2019-02-01,1.0258333333333332,8.17
2019-03-01,1.0133333333333334,8.1
2019-04-01,0.9941666666666666,7.988333333333333
2019-05-01,0.9691666666666667,7.833333333333333
2019-06-01,0.9408333333333333,7.661666666666666
2019-07-01,0.9108333333333333,7.451666666666667
2019-08-01,0.8833333333333334,7.227499999999999
2019-09-01,0.8558333333333333,6.9925
2019-10-01,0.8291666666666666,6.7525
2019-11-01,0.8024999999999999,6.506666666666667
2019-12-01,0.7749999999999999,6.2275
2020-01-01,0.785,6.296666666666666
2020-02-01,0.8025000000000001,6.423333333333335
2020-03-01,0.8058333333333333,6.444166666666667
2020-04-01,0.8083333333333332,6.458333333333333
2020-05-01,0.8183333333333332,6.526666666666667
2020-06-01,0.8250000000000001,6.545833333333333
2020-07-01,0.8383333333333334,6.6325
2020-08-01,0.8466666666666667,6.69
2020-09-01,0.8516666666666667,6.739166666666667
2020-10-01,0.8508333333333332,6.7441666666666675
2020-11-01,0.8500000000000001,6.763333333333333
2020-12-01,0.8450000000000001,6.753333333333333
2021-01-01,0.8341666666666666,6.680833333333333
2021-02-01,0.815,6.554166666666666
2021-03-01,0.8066666666666666,6.515
2021-04-01,0.7966666666666667,6.471666666666667
2021-05-01,0.7775,6.359999999999999
2021-06-01,0.7641666666666667,6.321666666666666
2021-07-01,0.7441666666666666,6.240833333333334
2021-08-01,0.7316666666666666,6.213333333333332
2021-09-01,0.7283333333333334,6.2491666666666665
2021-10-01,0.7316666666666666,6.3566666666666665
2021-11-01,0.7341666666666667,6.473333333333334
2021-12-01,0.7591666666666667,6.816666666666666
2022-01-01,0.775,6.985833333333333
2022-02-01,0.805,7.293333333333333
2022-03-01,0.8533333333333334,7.740000000000001
2022-04-01,0.9274999999999999,8.4725
2022-05-01,1.0283333333333333,9.475
2022-06-01,1.1516666666666666,10.715000000000002
2022-07-01,1.3,12.250833333333333
2022-08-01,1.4749999999999999,14.094166666666666
2022-09-01,1.668333333333333,16.1325
2022-10-01,1.8908333333333331,18.50166666666667
2022-11-01,2.145,21.229166666666668
2022-12-01,2.4091666666666667,24.099166666666665
2023-01-01,2.4141666666666666,24.1075
2023-02-01,2.415,24.0625
2023-03-01,2.408333333333333,24.012500000000003
2023-04-01,2.393333333333333,23.835000000000004
2023-05-01,2.3741666666666665,23.599166666666665
2023-06-01,2.353333333333333,23.3475
2023-07-01,2.3183333333333334,22.949166666666667
2023-08-01,2.2758333333333334,22.4475
2023-09-01,2.2516666666666665,22.1425
2023-10-01,2.2066666666666666,21.645833333333332
2023-11-01,2.140833333333333,20.9525
2023-12-01,2.0566666666666666,20.346666666666664
2024-01-01,2.0391666666666666,20.23333333333333
2024-02-01,2.0191666666666666,20.1325
2024-03-01,2.0083333333333333,20.128333333333334
2024-04-01,1.9858333333333336,20.02583333333333
2024-05-01,1.9508333333333334,19.820833333333333
2024-06-01,1.9066666666666665,19.58
2024-07-01,1.8533333333333335,19.232499999999998
2024-08-01,1.7791666666666668,18.696666666666665
2024-09-01,1.6816666666666666,17.948333333333334
2024-10-01,1.5825000000000002,17.148333333333333
2024-11-01,1.4841666666666666,16.320833333333333
2024-12-01,1.3941666666666668,15.306666666666665
2025-01-01,1.3983333333333334,15.315833333333332
2025-02-01,1.4091666666666667,15.361666666666666
2025-03-01,1.415,15.3575
2025-04-01,1.4233333333333331,15.375
2025-05-01,1.4316666666666666,15.406666666666666
2025-06-01,1.4383333333333332,15.398333333333333
2025-07-01,1.4466666666666665,15.415000000000001
2025-08-01,1.4649999999999999,15.535000000000002
2025-09-01,1.4816666666666667,15.651666666666666
